,descriptions_edition,urls
38,"Édition saoudienne de très bonne qualité.
",https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/at-tibiyan-fi-charh-akhlaq-hamalah-al-qouran-abderrazzaq-al-badr.html#/21-edition-egyptienne
39,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/charh-risalah-adab-ad-daris-wal-mudarris-abdallah-al-fawzan.html
40,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/correspondances-entre-imams-abu-hanifa-malik-layth-ibn-sad.html
41,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/doua-et-dhikr-rapportés-du-prophète-abdallah-as-sad.html
42,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/khazanat-al-ulum-li-amir-al-muminin-bil-andalus-al-mutnassir-billah.html
43,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/kitab-al-ilm-hafidh-abou-khaythamah-tahqiq-al-albani.html
44,"Belle édition libanaise, vérifiée à partir de 2 manuscrits, sans Harakat.
Tahqiq: أبو عبد الله الداني بن منير آل زهوي
Pages: 280
Edition: دار اللؤلؤة
",https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/kitab-taqyid-al-ilm-al-khatib-al-baghdadi.html#/34-edition-édition_2
45,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/les-spécificités-de-la-langue-arabe-et-l-obligation-de-l-apprendre.html
46,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/ma-khadh-al-ilm-de-l-imam-ibn-faris-395h.html
47,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/manhaj-as-salaf-fi-sou-al-an-al-ilm-wa-fi-ta-lim-abdulfattah-abu-ghuddah.html
48,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/minhaj-yawmi-li-talib-al-ilm-al-uthaymin-abderrazaq-al-badr.html
49,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/qawa-id-tahqiq-an-nousous-dr-ali-al-imran.html
50,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/sinaa-ah-taalib-al-ilm-maahir-dr-ahmad-at-tayyar.html
51,"Format: 17x24cm
Pages: 108
Edition: دار الصميعي
",https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/soulwatu-at-toullab-la-consolation-de-l-etudiant-dr-ali-al-imran.html#/167-edition-edition_économique
