,Title,Author,Pages,Edition,Cover,Format,Harakat,Checking and preparation,Preface,Volumes,Annotations,lien
22,تيسير أحكام التجويد - المستوى الأول,د. يحيي الغوثاني,32,دار الغوثاني,غلاف,12x17cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/أحكام-التجويد/tajweed-lessons-level-1-dr-yahya-al-ghawthani.html
23,علم التجويد: أحكام نظرية وملاحظات تطبيقية - المستوى الثاني,د. يحيي الغوثاني,190,دار الغوثاني,غلاف,12x17cm,In Part,,,,,https://www.sifatusafwa.com/ar/أحكام-التجويد/tajweed-lessons-level-2-dr-yahya-al-ghawthani.html
24,التعليقات المرضية على الدقائق المحكمة في شرح المقدمة الجزرية,الإمام زكريا الأنصاري,166,دار الغوثاني,غلاف,17x24cm,None or a little bit (or only on the Matn),,الشيخ الحنبلي عبد الرحمن بن أحمد الشامي,,موفق محمود عيون,https://www.sifatusafwa.com/ar/أحكام-التجويد/taliqat-mardiyah-ala-daqaiq-muhkamah-charh-al-jazariyah-imam-zakaria-al-ansari.html
25,التقريب المنهجي للتجويد,د. أحمد شكري ود.عادل أبو شعر ود. مناف الكتاني,312,دار الغوثاني,مجلد,14x20cm,In Part,,,,,https://www.sifatusafwa.com/ar/أحكام-التجويد/taqreeb-al-manhaji-li-t-tajweed-dr-ahmed-shukri-dr-adil-abu-sha-r.html
26,الإحكام في أصول الأحكام,الإمام ابن حزم,2406,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),فواز أحمد زمرلي وعبد الرحمن زمرلي,,4,,https://www.sifatusafwa.com/ar/أصول-الفقه/al-ihkam-fi-usul-al-ahkam-ibn-hazm-al-andalusi.html
27,الجهد المبذول في تنوير العقول بشرح منظومة وسيلة الحصول إلى مهمات الأصول لناظمها الشيخ حافظ الحكمي,الشيخ زيد المدخلي,700,الميراث النبوي,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/al-juhd-ul-mabdhul-fi-tanwir-al-uqul-hafidh-hakami-zayd-al-madkhali.html
28,اللمع في أصول الفقه,الإمام أبو إسحاق الشيرازي,,,,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/al-luma-fi-usul-al-fiqh-ash-shirazi.html#/28-edition-soft_cover
29,المنتخب من المحصول في أصول الفقه,الإمام فخر الدين الرازي,684,أسفار,مجلد,17x24cm,None or a little bit (or only on the Matn),عدنان العبيات,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/al-muntakhab-mina-al-mahsul-fi-usul-al-fiqh-fakhr-al-din-razi.html
30,العقود الفضية شرح منظومة القواعد الفقهية لعثمان بن سند البصري,سعيد بن مصطفى دياب,325,دار ابن كثير,غلاف,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/al-uqud-al-fiddiyah-sharh-mandhumah-al-qawa-id-al-fiqhiyyah-harakat.html
31,النجم الوهاج في نظم المنهاج (ألفية العراقي في أصول الفقه) ومعه منهاج الوصول إلى علم الأصول للبيضاوي,الحافظ العراقي,239,دار النصيحة,مجلد,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/alfiat-al-iraqi-fi-usul-al-fiqh-matn-minhaj-al-wusul-li-l-baydawi.html
32,فتح الولي الناصر شرح روضة الناظر,الشيخ علي بن سعد الضويحي,,دار ابن الجوزي,مجلد,17x24cm,None or a little bit (or only on the Matn),,,6,,https://www.sifatusafwa.com/ar/أصول-الفقه/fath-al-wali-an-nasir-explanation-of-rawdatu-nadhir-dr-ali-ad-duwayhi-6-volumes.html
33,إرشاد الفحول إلى تحقيق الحق من علم الأصول,الإمام محمد بن علي الشوكاني,,,مجلد,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/irshaad-al-fuhool-ila-tahqeeq-al-haqq-min-ilm-al-usool-shawkaanee.html#/143-edition-syrian_saudi_quality
34,إرشاد الفحول إلى تحقيق الحق من علم الأصول,الإمام محمد بن علي الشوكاني,,,مجلد,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/irshaad-al-fuhool-ila-tahqeeq-al-haqq-min-ilm-al-usool-shawkaanee.html#/21-edition-egyptian
35,لمع اللوامع في توضيح جمع الجوامع,الإمام ابن رسلان الرملي,1467,دار الفتح,مجلد,17x24cm,In Part,,,2,,https://www.sifatusafwa.com/ar/أصول-الفقه/luma-al-lawami-fi-tawdih-jam-al-jawami-ibn-raslan-ar-ramli-.html
36,مقام الرشاد بين التقليد والاجتهاد,الشيخ فيصل آل مبارك,63,دار البشائر الإسلامية,غلاف,17x24cm,In Majority or Totality,محمد بن يوسف الجوراني,الشيخ شعيب الأرنؤوط,,,https://www.sifatusafwa.com/ar/أصول-الفقه/maqam-ar-rachad-bayna-at-taqlid-wal-ijtihad-faysal-ibn-al-mubarak.html
37,مقاصد الشريعة عند العلامة عبد الرحمن بن ناصر السعدي,جميل يوسف زريوا,472,دار التوحيد للنشر,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/maqasid-shariah-among-al-allamah-abderrahman-as-sa-di.html
38,مفتاح الوصول إلى بناء الفروع على الأصول ويليه كتاب مثارات الغلط في الأدلة,الإمام الشريف محمد بن أحمد التلمساني,1008,دار ابن حزم,مجلد,17x24cm,In Majority or Totality,الشيخ محمد علي فركوس,,,الشيخ محمد علي فركوس,https://www.sifatusafwa.com/ar/أصول-الفقه/miftah-al-wusul-ila-bina-al-furu-ala-al-usul-sharif-at-talmisani.html
39,تحبير الصفحات بشرح الورقات,الشيخ عبد الكريم الخضير,521,دار ابن الجوزي,مجلد,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/sharh-al-waraqat-usul-al-fiqh-abdulkarim-al-khudayr.html
40,شرح التعبيرات الواضحات عن شرح الورقات,الشيخ محمد بن صالح العثيمين,368,مؤسسة الشيخ العثيمين الخيرية,مجلد,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/sharh-at-ta-birat-al-wadihat-an-sharh-al-waraqat-shaykh-al-uthaymin.html
41,رسالة لطيفة جامعة في أصول الفقه المهمة للشيخ السعدي,نادر بن سعيد التعمري,151,دار ابن حزم,مجلد,17x24cm,In Part,نادر بن سعيد التعمري,الشيخ مشهور آل سلمان والشيخ سليم الهلالي,,نادر بن سعيد التعمري,https://www.sifatusafwa.com/ar/أصول-الفقه/ta-liqat-ala-risalah-latifah-jami-ah-fi-usul-al-fiqh-li-shaykh-as-sa-di.html
42,تنقيح الفصول في علم الأصول,الإمام شهاب الدين القرافي المالكي,,,مجلد,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/tanqih-al-fusul-fi-ilm-al-usul-al-qurafi-harakat.html#/33-edition-edition_1
43,تيسير الوصول إلى فهم الأصول من علم أصول للعلامة ابن عثيمين,الشيخ سليمان الرحيلي,816,دار الناشر المتميز,مجلد,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/taysir-al-wusul-ila-fahm-al-usul-min-ilm-al-usul-s-ruhayli.html
44,أصول مذهب الإمام الأوزاعي,د. علي بن سعد الضويحي,496,الرسالة العالمية,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/أصول-الفقه/usool-madhhab-al-imaam-al-awzaa-ee.html
45,التحف بالمأثور عن السلف,الشيخ عبد الرزاق بن عبد المحسن البدر,64,دار المداد,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/أقوال-السلف/at-tuhfah-bi-ma-thur-an-as-salaf-shaykh-abdurrazzaq-al-badr.html
46,منهج السلف في الوعظ,سليمان العربي بن صفية,1080,مكتبة دار المنهاج,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/أقوال-السلف/manhaj-as-salaf-fi-al-wa-dhi-suleyman-al-arabi-ibn-safiyyah.html
47,منجد الخطيب روائع القصص والأمثال مأخوذة من سير أعلام النبلاء ومرتبة على رياض الصالحين,أحمد بن صقر السويدي,1339,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,2,,https://www.sifatusafwa.com/ar/أقوال-السلف/munjid-al-khatib-stories-athar-from-siyar-alam-nubala.html
